old_path,new_path,reason
GBT初稿/数据标定/matlab/q2_v2_load_public_spatial_zones.m,GBT初稿/数据标定/matlab/load_public_spatial_zones.m,submission-facing descriptive name
GBT初稿/数据标定/matlab/q2_v2_draw_public_arrivals.m,GBT初稿/数据标定/matlab/draw_public_arrivals.m,submission-facing descriptive name
GBT初稿/数据标定/matlab/q2_v2_draw_public_weather_path.m,GBT初稿/数据标定/matlab/draw_public_weather_path.m,submission-facing descriptive name
GBT初稿/数据标定/processed/spgfs_public_calibration_contract.json,GBT初稿/数据标定/processed/public_calibration_contract.json,submission-facing descriptive name
GBT初稿/数据标定/processed/cmu_flight_energy_summary.csv,GBT初稿/数据标定/processed/matrice100_energy_summary.csv,submission-facing descriptive name
GBT初稿/数据标定/processed/weather_forecast_actual_pairs.csv,GBT初稿/数据标定/processed/legacy_weather_pairs_fingerprint_only.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table2_SPGFS_Holdout_Policy_Summary.csv,results_Q2_SP_GFS_final/exports/primary_policy_summary.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table2_SPGFS_Paired_Contrasts.csv,results_Q2_SP_GFS_final/exports/primary_paired_contrasts.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table2_SPGFS_OrderLevel_GLMM.csv,results_Q2_SP_GFS_final/exports/order_level_glmm_diagnostic.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Access_Mechanism_Boundaries.csv,results_Q2_SP_GFS_final/exports/access_mechanism_boundaries.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Inertia_Sensitivity.csv,results_Q2_SP_GFS_final/exports/inertia_sensitivity.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Paired_Safety_Ablation.csv,results_Q2_SP_GFS_final/exports/safety_guard_ablation.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Fleet_Size_Boundary.csv,results_Q2_SP_GFS_final/exports/fleet_size_boundaries.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Fleet_Role_Utilisation.csv,results_Q2_SP_GFS_final/exports/fleet_role_utilisation.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/Table3_SPGFS_Descriptive_Input_Heterogeneity.csv,results_Q2_SP_GFS_final/exports/input_heterogeneity_diagnostics.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Primary_Input_Covariates.csv,results_Q2_SP_GFS_final/exports/primary_input_covariates.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Fleet_and_Heterogeneity_Analysis.mat,results_Q2_SP_GFS_final/exports/fleet_and_heterogeneity_analysis.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Holdout_Order_Outcomes.csv,results_Q2_SP_GFS_final/exports/holdout_order_outcomes.csv,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Primary_Release_Analysis.mat,results_Q2_SP_GFS_final/exports/primary_release_analysis.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Supporting_Analysis.mat,results_Q2_SP_GFS_final/exports/supporting_analysis.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/exports/SPGFS_Paper_Update_Claims.md,results_Q2_SP_GFS_final/exports/manuscript_claims_from_results.md,submission-facing descriptive name
GBT初稿/图表/Fig1_Closed_Loop_Governance_Architecture.png,GBT初稿/图表/Figure1_Closed_Loop_Governance_Architecture.png,submission-facing descriptive name
GBT初稿/图表/Fig2_SaoPaulo_Calibration_Evidence.png,GBT初稿/图表/Figure2_Sao_Paulo_Calibration_Evidence.png,submission-facing descriptive name
GBT初稿/图表/Fig3_Representative_SaoPaulo_Replay.png,GBT初稿/图表/Figure3_Representative_Sao_Paulo_Replay.png,submission-facing descriptive name
GBT初稿/图表/Fig4_Primary_Holdout_Policy_Evidence.png,GBT初稿/图表/Figure4_Primary_Holdout_Policy_Evidence.png,submission-facing descriptive name
GBT初稿/图表/Fig5_Governance_Mechanism_and_Inertia_Evidence.png,GBT初稿/图表/Figure5_Governance_Mechanism_and_Inertia_Evidence.png,submission-facing descriptive name
GBT初稿/图表/Fig6_Boundary_and_Safety_Evidence.png,GBT初稿/图表/Figure6_Boundary_and_Safety_Evidence.png,submission-facing descriptive name
GBT初稿/图表/Fig7_Fleet_and_Input_Heterogeneity_Boundaries.png,GBT初稿/图表/Figure7_Fleet_and_Input_Heterogeneity_Boundaries.png,submission-facing descriptive name
GBT初稿/图表/AppendixTableA6_Outcome_Blind_Input_Heterogeneity.docx,GBT初稿/图表/Appendix_Table_A6_Outcome_Blind_Input_Heterogeneity.docx,submission-facing descriptive name
GBT初稿/图表/Figure_Table_Artifact_Manifest.json,GBT初稿/图表/ARTIFACT_MANIFEST.json,submission-facing descriptive name
results_Q2_SP_GFS_final/primary_factorial5_r60.mat,results_Q2_SP_GFS_final/primary_policy_comparison_60_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/weather_p80_gate2_r20.mat,results_Q2_SP_GFS_final/weather_p80_boundary_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/ablation_wind_gate_off_gate2_r20.mat,results_Q2_SP_GFS_final/wind_gate_ablation_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/ablation_low_soc_gate_off_gate2_r20.mat,results_Q2_SP_GFS_final/low_soc_gate_ablation_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/sensitivity_w3_low_factorial4_r20.mat,results_Q2_SP_GFS_final/low_inertia_sensitivity_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/sensitivity_w3_frozen_factorial4_r20.mat,results_Q2_SP_GFS_final/reference_inertia_sensitivity_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/sensitivity_w3_high_factorial4_r20.mat,results_Q2_SP_GFS_final/high_inertia_sensitivity_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/sensitivity_scale_low_gate2_r20.mat,results_Q2_SP_GFS_final/low_plan_change_scale_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/sensitivity_scale_high_gate2_r20.mat,results_Q2_SP_GFS_final/high_plan_change_scale_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_window2_gate2_r20.mat,results_Q2_SP_GFS_final/planning_window_2_steps_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_window3_gate2_r20.mat,results_Q2_SP_GFS_final/planning_window_3_steps_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_window4_gate2_r20.mat,results_Q2_SP_GFS_final/planning_window_4_steps_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/guard_on_core2_r20.mat,results_Q2_SP_GFS_final/safety_guard_on_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/guard_off_core2_r20.mat,results_Q2_SP_GFS_final/safety_guard_off_20_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_fleet2_gate2_r60.mat,results_Q2_SP_GFS_final/fleet_size_2_60_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_fleet3_gate2_r60.mat,results_Q2_SP_GFS_final/fleet_size_3_60_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/boundary_fleet4_gate2_r60.mat,results_Q2_SP_GFS_final/fleet_size_4_60_scenarios.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/q2_sao_paulo_final_suite.mat,results_Q2_SP_GFS_final/consolidated_experiment_suite.mat,submission-facing descriptive name
results_Q2_SP_GFS_final/PROTOCOL.txt,results_Q2_SP_GFS_final/EXPERIMENT_PROTOCOL.txt,submission-facing descriptive name
results_Q2_SP_GFS_final/submission_png_qa.csv,results_Q2_SP_GFS_final/figure_png_quality_audit.csv,submission-facing descriptive name
q2_default_config.m,systems_default_config.m,submission-facing descriptive name
q2_policy_catalog.m,systems_policy_catalog.m,submission-facing descriptive name
run_q2_evidence_suite.m,run_governance_evidence_suite.m,submission-facing descriptive name
q2_draw_sao_paulo_gfs_era5_scenario.m,draw_sao_paulo_order_weather_scenario.m,submission-facing descriptive name
run_q2_sao_paulo_final_suite.m,run_final_experiment_suite.m,submission-facing descriptive name
q2_adaptive_w3_value.m,adaptive_plan_inertia_weight.m,submission-facing descriptive name
q2_plan_change_distance.m,plan_change_distance.m,submission-facing descriptive name
q2_platform_relocate.m,relocate_mobile_platform.m,submission-facing descriptive name
q2_flight_physics.m,evaluate_flight_physics.m,submission-facing descriptive name
q2_order_status.m,evaluate_order_status.m,submission-facing descriptive name
q2_mean_ci.m,mean_student_t_ci.m,submission-facing descriptive name
q2_release_fingerprint.m,build_release_fingerprint.m,submission-facing descriptive name
q2_v3_export_primary_statistics.m,export_primary_statistics.m,submission-facing descriptive name
q2_sp_export_supporting_statistics.m,export_supporting_statistics.m,submission-facing descriptive name
q2_sp_export_fleet_and_heterogeneity_statistics.m,export_fleet_and_heterogeneity_statistics.m,submission-facing descriptive name
generate_SPGFS_submission_figures.m,generate_submission_figures.m,submission-facing descriptive name
verify_q2_spgfs_release.m,verify_frozen_release.m,submission-facing descriptive name
create_SPGFS_submission_tables.py,create_submission_tables.py,submission-facing descriptive name
build_spgfs_artifact_manifest.py,build_artifact_manifest.py,submission-facing descriptive name
